id,ra_deg,dec_deg,u,v,mag,electrons_deposited
236,11.06724855,0.89382979,86.405,221.015,8.090,2.903822
239,11.14761000,3.38193739,84.666,168.069,8.560,1.883519
240,11.15652885,9.79522025,84.472,29.847,10.810,0.237121
241,11.27950440,9.13829706,81.808,44.109,8.760,1.566643
245,11.45373105,7.81552594,78.030,72.747,8.520,1.954204
247,11.48292345,8.26141340,77.396,63.056,9.190,1.054314
248,11.48627085,8.27080462,77.324,62.850,8.100,2.877200
263,12.43856805,4.68713578,56.583,139.731,12.040,0.076378
267,12.53116680,4.14573041,54.558,151.324,8.090,2.903822
294,13.75734675,3.90700467,27.605,156.028,7.890,3.491162
7139,345.33879165,2.72372228,632.443,181.273,9.280,0.970443
7144,345.51041535,1.34183818,628.624,211.107,9.640,0.696578
7151,345.93296835,3.68516191,619.246,160.704,7.410,5.432128
7155,346.15857855,1.57205352,614.253,206.244,8.110,2.850821
7191,347.77989915,3.03241518,578.646,175.267,7.950,3.303467
7204,348.26510685,8.14941316,568.077,65.330,9.160,1.083852
7205,348.29784255,4.77449845,567.365,138.133,8.690,1.670975
7213,348.68019240,0.12690074,559.065,237.302,7.920,3.396018
7215,348.80857620,5.38223908,556.283,125.302,8.890,1.389857
7217,348.96947160,9.01467905,552.800,46.969,6.600,11.454338
7238,349.89168690,8.20881472,532.908,65.001,6.310,14.961323
7255,350.79568830,6.56664823,513.520,100.731,8.350,2.285441
7259,350.91407055,9.51508652,510.988,37.283,9.690,0.665227
7262,351.02896890,1.86554789,508.533,200.620,8.630,1.765916
7265,351.09939195,2.35922888,507.029,190.197,9.270,0.979422
7271,351.42081720,7.02514279,500.170,91.166,5.750,25.059362
7272,351.46596885,10.90437833,499.208,7.352,7.970,3.243172
7273,351.55725345,7.16786672,497.263,88.165,9.730,0.641165
7276,351.59112660,3.77215239,496.541,160.405,8.260,2.482962
7288,352.23535020,8.99362761,482.842,49.235,8.150,2.747704
7290,352.24911450,2.56538999,482.550,185.999,8.850,1.442016
7291,352.43235615,10.42386319,478.661,18.368,9.980,0.509296
7298,352.62671745,1.68574858,474.541,204.560,9.840,0.579389
7302,352.74449790,4.12880910,472.045,153.095,8.150,2.747704
7307,352.97476650,2.44658838,467.170,188.587,8.900,1.377114
7315,353.52184545,6.27252304,455.607,107.889,8.380,2.223156
7319,353.71353390,8.45759045,451.562,61.347,8.080,2.930691
7323,353.84743365,10.91836311,448.737,8.291,8.900,1.377114
7336,354.68399460,0.23269304,431.124,235.129,7.870,3.556068
7342,355.02249225,4.58476959,424.011,143.869,9.580,0.736156
7345,355.36449930,7.37501187,416.832,84.916,9.260,0.988485
7347,355.38407145,6.58640513,416.422,101.658,8.050,3.012798
7349,355.41445335,2.03359617,415.784,197.458,7.470,5.140081
7352,355.54644510,0.94542483,413.016,220.232,6.900,8.689004
7357,355.70693115,3.52380859,409.651,166.251,6.440,13.273028
7361,355.78561740,8.27487179,408.002,65.841,6.960,8.221859
7363,355.83915765,7.39138121,406.880,84.666,9.130,1.114218
7370,356.37511770,0.01942093,395.657,239.594,8.060,2.985176
7377,356.64650580,2.33533710,389.979,191.212,7.440,5.284088
7386,357.40911510,7.57919730,374.040,80.931,8.690,1.670975
7387,357.43564440,10.27850061,373.486,23.213,12.230,0.064117
7389,357.51100755,1.28062277,371.912,213.277,9.540,0.763783
