id,ra_deg,dec_deg,u,v,mag,electrons_deposited
22211,359.99998661,-0.00001108,405.692,310.896,8.440,2.103633
22223,359.99998536,0.00001416,413.706,149.376,8.440,2.103633
22237,359.99999220,0.00001744,369.936,128.415,11.270,0.155228
22243,359.99997611,-0.00002370,472.889,391.656,8.980,1.279293
22256,0.00001744,0.00000019,208.415,238.767,9.850,0.574077
22260,359.99998632,0.00002283,407.541,93.892,7.850,3.622180
22272,0.00003795,-0.00000886,77.103,296.717,8.670,1.702041
22275,359.99999817,-0.00003429,331.713,459.470,7.510,4.954160
22282,0.00001368,0.00000125,232.459,231.986,9.450,0.829793
22283,359.99999807,0.00000954,332.330,178.968,9.330,0.926766
120411,0.00000000,0.00000000,320.000,240.000,11.730,0.101618
22289,359.99998806,-0.00000164,396.445,250.480,9.590,0.729407
22301,359.99996898,0.00001532,518.509,141.978,7.950,3.303467
22304,359.99998025,-0.00001040,446.380,306.581,7.170,6.775947
22310,0.00003448,-0.00003063,99.297,436.044,7.770,3.899151
22324,359.99995627,-0.00001830,599.886,357.133,8.820,1.482416
22335,0.00003699,-0.00002765,83.268,416.932,9.250,0.997631
22340,359.99999287,-0.00000289,365.620,258.495,8.860,1.428795
22342,0.00003959,-0.00001021,66.623,305.348,8.890,1.389857
22348,0.00001927,-0.00001416,196.702,330.624,9.290,0.961546
22351,359.99997380,-0.00003632,487.685,472.416,8.730,1.610534
22356,359.99996436,-0.00002013,548.101,368.846,10.130,0.443578
22358,0.00000703,-0.00000713,274.996,285.620,6.960,8.221859
22365,359.99999904,-0.00000202,326.165,252.946,7.700,4.158819
22378,359.99998671,-0.00001397,405.075,329.391,8.740,1.595769
22390,0.00000838,0.00002774,266.365,62.451,7.700,4.158819
22392,0.00000202,0.00000241,307.054,224.588,10.500,0.315479
22398,0.00002832,0.00001657,138.752,133.964,7.910,3.427441
22406,359.99995588,-0.00002177,602.352,379.327,7.420,5.382326
22413,359.99997582,-0.00000058,474.739,243.699,8.170,2.697553
22435,0.00004961,-0.00002668,2.508,410.767,8.250,2.503808
22445,359.99997939,0.00000308,451.929,220.272,8.860,1.428795
22452,359.99999066,-0.00001560,379.799,339.871,9.280,0.970443
22466,359.99998112,0.00001560,440.832,140.129,11.540,0.121051
22480,359.99999095,-0.00001532,377.950,338.022,8.620,1.782256
