x,y,area
254.56428571428572,148.77857142857144,140
296.0,144.0,21
354.5,147.5,42
381.90909090909093,144.0909090909091,22
506.0,145.0,21
622.0,145.0,21
631.6933333333334,148.08,75
9.5,148.0,38
18.0,146.0,21
429.53521126760563,148.1549295774648,71
43.0,149.0,21
105.25,152.4431818181818,88
115.5,148.5,28
272.0,149.0,21
375.24242424242425,152.87878787878788,66
443.0,149.0,21
95.5,152.5,40
134.0,151.0,21
315.5,151.5,42
335.0,151.0,31
343.0,150.0,21
395.0163934426229,154.7377049180328,61
459.0,151.0,21
589.0,151.0,21
30.0,153.0,21
83.0,153.0,41
197.5,152.0,36
228.40540540540542,153.56756756756758,37
285.4736842105263,156.52631578947367,57
413.0,153.0,21
436.0,152.0,21
484.0,152.0,21
503.78723404255317,153.93617021276594,47
567.0,152.0,21
597.5,155.5,42
39.0,154.0,21
120.0,155.0,21
141.0,155.0,21
166.0,154.0,21
454.0,155.0,21
468.0,154.0,21
519.0,155.0,39
556.58,155.6,50
604.0,154.0,21
618.0,154.0,21
8.0,156.0,21
63.0,161.0,63
68.0,156.0,21
577.6290322580645,158.0,62
588.0,157.0,21
205.0,159.0,21
247.0909090909091,158.9090909090909,22
440.0,159.0,25
451.50588235294117,163.76470588235293,85
491.0,159.0,21
547.5,160.0,38
612.0,158.0,21
21.06756756756757,164.44594594594594,74
48.0,161.0,21
93.62903225806451,162.0,62
152.0,161.0,21
211.83673469387756,162.53061224489795,49
263.0,160.0,21
344.5,161.0,32
410.5,162.0,42
130.0,162.0,21
165.0,163.0,21
225.5,165.0,40
294.0,162.0,21
302.1333333333333,165.0222222222222,45
314.6533333333333,166.72,75
337.0,162.0,21
362.0,162.0,21
388.0,163.0,21
499.3333333333333,164.55555555555554,54
512.0,162.0,21
563.0,162.0,21
588.7916666666666,168.33333333333334,72
1.3333333333333333,164.0,18
55.0,165.0,21
76.0,165.0,41
193.0,164.0,21
275.0,164.0,21
327.0,168.66666666666666,63
605.0,165.0,21
636.0,164.0,21
105.0,167.5,32
185.0,166.0,21
233.0,167.0,21
470.5263157894737,168.10526315789474,57
567.0,167.0,21
574.0,166.0,21
596.5,168.0,38
620.4545454545455,168.38181818181818,55
38.0,169.0,21
87.0,168.0,21
121.0,169.0,21
166.0,169.0,21
282.5,169.5,28
404.0,169.0,21
544.758064516129,171.59677419354838,62
149.5,173.0,40
181.0483870967742,173.32258064516128,62
214.0,170.0,21
246.0,170.0,21
260.5,173.0,42
276.0,171.0,21
422.1506849315069,171.34246575342465,73
433.3333333333333,173.66666666666666,63
513.8412698412699,178.43650793650792,126
113.0,172.0,21
135.0,172.0,21
360.0,173.0,21
563.0,172.0,21
10.065573770491802,176.29508196721312,61
165.0,175.0,21
313.0,176.0,35
347.0,175.0,21
369.0,176.5,38
391.9117647058824,179.8235294117647,102
407.0,175.0,21
460.0,175.0,21
554.0,174.0,21
613.0,174.0,21
50.0,176.0,21
94.0,177.5,42
225.0,177.0,21
243.0,178.42857142857142,49
306.2923076923077,185.76923076923077,130
378.5,177.0,26
441.0,177.0,41
472.0,176.0,21
500.0,177.0,21
626.3333333333334,180.33333333333334,63
636.0,177.0,21
115.0,178.0,21
121.5,180.5,42
129.0,178.0,21
336.04347826086956,184.95652173913044,92
454.0,178.0,21
491.0,180.5,44
