id,ra_deg,dec_deg,mag,x,y,z,u,v
113865,346.19644716,5.16316756,8.580,0.96717912659,-0.23762557155,0.0899923598687,613.416,128.879
113876,346.23820006,4.59993314,7.350,0.968164536101,-0.23711969581,0.0801977611605,612.493,141.074
113878,346.24691736,5.19622967,8.800,0.967337467208,-0.23676113424,0.090567046155,612.301,128.188
113880,346.25029753,4.22579562,7.070,0.968702613041,-0.237034689811,0.0736871991194,612.226,149.155
113905,346.32338622,1.30717903,6.390,0.97139284623,-0.236380040669,0.0228125988545,610.612,211.954
113921,346.36470357,1.76284699,8.590,0.97135601675,-0.235629262425,0.0307626301354,609.700,202.178
113962,346.49599046,5.65813797,9.400,0.967616148899,-0.232375701816,0.098592705594,606.804,118.314
113969,346.53709835,4.68670026,9.260,0.969269129368,-0.232037269451,0.081707162716,605.898,139.327
113997,346.63581164,0.19606931,9.330,0.972914841148,-0.231138489783,0.00342204834264,603.723,235.799
114018,346.67038326,4.19952737,10.610,0.970447241344,-0.229933736571,0.0732299703282,602.962,149.881
114019,346.67429896,4.20088229,9.130,0.970461267802,-0.229867014663,0.0732535546304,602.876,149.854
114025,346.69407579,5.03589266,7.560,0.969398609422,-0.2292619573,0.087779786887,602.441,131.859
114047,346.76106633,3.05220759,6.980,0.972042641487,-0.22868751474,0.0532458799703,600.967,174.582
114101,346.91888837,2.10539636,9.380,0.9733930887,-0.226177423168,0.0367378295388,597.497,194.926
114106,346.92813889,6.59967738,9.180,0.967632288414,-0.224674189923,0.114931557026,597.294,98.151
114108,346.93060085,6.60476050,9.000,0.967632005522,-0.224630304618,0.115019685862,597.240,98.042
114110,346.94033780,0.29604027,7.050,0.974122291592,-0.225962529281,0.00516685444033,597.026,233.666
114117,346.96120084,5.69763653,8.520,0.969404550786,-0.224496227118,0.0992787032853,596.568,117.694
114122,346.97744210,4.77674673,8.880,0.97089748875,-0.224552009367,0.0832734136882,596.211,137.569
114127,347.00724137,3.57309258,7.750,0.972504360479,-0.224390864496,0.0623218162441,595.557,163.467
114129,347.01348706,4.87425972,7.660,0.970899056733,-0.22390899725,0.0849693037816,595.420,135.483
114132,347.02781318,3.32836789,10.900,0.972835390606,-0.224099386869,0.0580583119779,595.105,168.727
114156,347.09554846,7.26699368,8.330,0.966914192691,-0.22153197822,0.126493187951,593.619,83.766
114159,347.10854630,0.49953527,7.420,0.974757435353,-0.223096237742,0.0087184247383,593.334,229.318
114165,347.14504537,4.67800685,7.630,0.971688668355,-0.221742554248,0.0815559404713,592.533,139.763
114172,347.17017174,2.12761798,5.420,0.974361709509,-0.221903049367,0.0371254053838,591.982,194.496
114187,347.21014248,5.33756260,8.460,0.970960068576,-0.220415971557,0.0930233557454,591.106,125.584
114194,347.21848141,6.56121108,10.900,0.968833411648,-0.219784935572,0.114264616438,590.923,99.149
114207,347.25316053,7.93141219,8.970,0.966024213882,-0.218532947576,0.137987568344,590.163,69.412
114209,347.25636980,5.34183675,8.590,0.971130817191,-0.219630979573,0.0930976300144,590.093,125.512
114212,347.26631187,2.55054058,9.260,0.97443883366,-0.220201392737,0.0445006302445,589.875,185.461
114214,347.26731931,2.45264573,7.620,0.97451544646,-0.220200695526,0.0427936712685,589.853,187.557
114221,347.29316016,2.26050792,8.590,0.974749170502,-0.219791489181,0.0394430715063,589.287,191.675
114222,347.29787940,7.31390686,7.890,0.967589106265,-0.218093253609,0.127305357967,589.184,82.872
114224,347.31305652,3.93858857,9.560,0.973280524604,-0.219105196597,0.0686872131561,588.851,155.718
114234,347.34381075,2.14435199,7.110,0.975019106193,-0.218946776093,0.0374172660234,588.178,194.169
114253,347.39590404,1.92632065,8.150,0.975349663159,-0.218089690541,0.0336143043168,587.038,198.841
114254,347.40309385,3.96229261,8.470,0.973595819004,-0.217569251035,0.0690999437199,586.880,155.239
114256,347.41209698,3.78847222,9.150,0.97383010601,-0.217460948937,0.0660731436831,586.683,158.971
114269,347.45400676,7.09011846,8.610,0.96865777909,-0.215562195569,0.12343033197,585.766,87.823
114297,347.52803891,7.36251630,7.390,0.968351581712,-0.214181256977,0.128146803923,584.147,81.958
114323,347.60263944,7.81166478,7.330,0.967618744301,-0.212698049092,0.135917274802,582.517,72.248
114328,347.61355071,3.49086829,8.260,0.974910742498,-0.214106324317,0.0608894576272,582.278,165.411
114339,347.65513195,7.76696661,12.090,0.967916492151,-0.211834064414,0.135144342745,581.370,73.253
114344,347.66506587,5.96027730,6.960,0.971634421868,-0.212471230766,0.103838944225,581.153,112.369
114357,347.71101443,0.41038994,9.010,0.977061444993,-0.21283709721,0.00716259442517,580.149,231.245
114369,347.74052095,6.03092365,10.440,0.971787537317,-0.211164115742,0.105065210886,579.505,110.882
114387,347.80572466,3.15302451,7.920,0.975957355084,-0.210907381088,0.0550028877366,578.082,172.694
114388,347.80863417,5.00432800,6.660,0.973721807145,-0.210372517613,0.0872309929046,578.019,133.012
114392,347.82150395,5.09876397,8.840,0.973627173752,-0.210123178806,0.0888728094579,577.738,130.988
114409,347.90490183,3.10065413,8.200,0.976369717469,-0.209228161744,0.0540902129971,575.919,173.839
114412,347.91479807,4.25848245,9.930,0.975137732648,-0.208788001757,0.0742561289629,575.704,149.058
114416,347.92291416,1.13456234,9.500,0.977675279785,-0.209186484616,0.0198005543331,575.527,215.813
114419,347.93414513,8.72012785,5.150,0.966604041044,-0.206619510533,0.151608066094,575.282,52.686
